NAME,STATEFP,avg_drought_severity,percent_drought_area,lisa_map
Mifflin,42,0.0,3.3514337249020323,3
Crenshaw,01,2.000000000000008,100.0000000000004,1
Bristol,51,2.5694037851994707,99.99999999999989,0
Runnels,48,0.0,0.0,3
Terrell,48,1.1569529477881546,99.96784326117296,0
Rawlins,20,1.9999999999999956,99.99999999999977,1
Thomas,20,1.667514506168303,99.99999999999982,0
Jeff Davis,13,3.9999999999999956,99.99999999999989,1
Cherokee,19,0.0,100.00000000000023,3
White,05,3.0262710553193775,99.99999999999986,1
Leflore,28,2.998391492638018,100.00000000000007,1
Cooper,29,0.0,0.0,3
Dickinson,26,0.0,0.0,3
Will,17,0.0,100.0000000000008,3
Deaf Smith,48,3.0000000000000018,100.00000000000007,1
Brookings,46,1.000000000000001,100.00000000000011,0
Hardin,19,0.0,9.749654892875128,3
Cameron,22,0.021668964650338175,50.42572979793823,0
Clinton,39,0.0,0.0,3
St. Louis,27,0.0,25.048201117285284,3
Lorain,39,0.0,0.0,3
Lewis,47,1.0000000000000002,100.00000000000003,0
Washington,41,0.0,56.53014730359666,3
Virginia Beach,51,0.6170903810925389,51.95445647317784,0
Madison,30,2.4529986264706025,99.99999999999996,0
Lancaster,51,1.148394090509269,57.41970452546346,0
Bates,29,0.0,0.0,3
Belknap,33,1.3663328180506122,99.99999999999972,0
Richmond,51,2.312564355768031,87.5432267497109,0
Pettis,29,0.0,0.0,3
Missoula,30,0.0,0.0,3
Chautauqua,20,0.5941738776563873,99.99999999999984,0
Upshur,48,2.278738654689196,100.00000000000013,1
Culpeper,51,1.987449429786254,100.00000000000007,1
Haskell,40,0.8704622639532432,100.00000000000003,0
Ohio,54,0.0,0.0,3
Morgan,54,1.000000000000003,100.00000000000031,0
Rockingham,51,1.790674552548816,100.00000000000054,1
Whitley,18,0.0,0.0,3
Apache,04,2.2173010180864874,100.00000000000003,1
Macon,29,0.0,0.0,3
Lamb,48,2.2787455372027265,99.99999999999974,1
Kiowa,20,2.1688700003622614,99.99999999999997,1
Austin,48,0.0,87.01591022819902,0
Daviess,29,0.0,0.0,3
Seminole,13,2.0000000000000093,100.00000000000047,1
Manistee,26,0.0,0.0,3
Lyon,19,0.640815121651716,99.99999999999987,0
Hutchinson,48,3.000273282500959,100.00000000000011,1
Texas,40,3.026475045786961,100.00000000000004,1
Woodward,40,3.21140857491582,99.99999999999997,1
Adams,19,0.0,0.0,3
St. Croix,55,0.0,100.00000000000016,3
Venango,42,0.0,0.0,3
Summit,39,0.0,0.0,3
Glynn,13,2.3402890761425508,71.70695101390578,1
Webb,48,1.8775782127895286,99.92359006333389,0
Montgomery,37,2.039369342541911,100.0000000000002,1
Aroostook,23,0.0,3.472008557716672,0
Jefferson Davis,28,0.0,99.99999999999984,3
Washington,18,0.0,0.0,3
Grant,46,0.005329386579726179,99.99999999999987,3
Marshall,46,0.0,96.31405696184562,3
Thurston,53,0.0,0.0,3
Knox,31,2.9690852043490987,100.00000000000003,1
Valencia,35,2.151282111072689,99.99999999999984,1
Prairie,30,1.3997224374342103,100.00000000000009,0
Piute,49,2.7209279146451313,99.99999999999953,1
Mason,21,0.0,0.0,3
